ZipCode,County
70001,Jefferson
70002,Jefferson
70003,Jefferson
70004,Jefferson
70005,Jefferson
70006,Jefferson
70009,Jefferson
70010,Jefferson
70011,Jefferson
70030,St. Charles
70031,St. Charles
70032,St. Bernard
70033,Jefferson
70036,Jefferson
70037,Plaquemines
70038,Plaquemines
70039,St. Charles
70040,Plaquemines
70041,Plaquemines
70042,Plaquemines
70043,St. Bernard
70044,St. Bernard
70046,Plaquemines
70047,St. Charles
70049,St. John the Baptist
70050,Plaquemines
70051,St. John the Baptist
70052,St. James
70053,Jefferson
70054,Jefferson
70055,Jefferson
70056,Jefferson
70057,St. Charles
70058,Jefferson
70059,Jefferson
70060,Jefferson
70062,Jefferson
70063,Jefferson
70064,Jefferson
70065,Jefferson
70066,St. Charles
70067,Jefferson
70068,St. John the Baptist
70069,St. John the Baptist
70070,St. Charles
70071,St. James
70072,Jefferson
70073,Jefferson
70075,St. Bernard
70076,St. John the Baptist
70078,St. Charles
70079,St. Charles
70080,St. Charles
70081,Plaquemines
70082,Plaquemines
70083,Plaquemines
70084,St. John the Baptist
70085,St. Bernard
70086,St. James
70087,St. Charles
70090,St. James
70091,Plaquemines
70092,St. Bernard
70093,Plaquemines
70094,Jefferson
70096,Jefferson
70097,Jefferson
70112,Orleans
70113,Orleans
70114,Orleans
70115,Orleans
70116,Orleans
70117,Orleans
70118,Orleans
70119,Orleans
70121,Jefferson
70122,Orleans
70123,Jefferson
70124,Orleans
70125,Orleans
70126,Orleans
70127,Orleans
70128,Orleans
70129,Orleans
70130,Orleans
70131,Orleans
70139,Orleans
70140,Orleans
70141,Orleans
70142,Orleans
70143,Orleans
70145,Orleans
70146,Orleans
70148,Orleans
70149,Orleans
70150,Orleans
70151,Orleans
70152,Orleans
70153,Orleans
70154,Orleans
70156,Orleans
70157,Orleans
70158,Orleans
70159,Orleans
70160,Orleans
70161,Orleans
70162,Orleans
70163,Orleans
70164,Orleans
70165,Orleans
70166,Orleans
70167,Orleans
70170,Orleans
70172,Orleans
70174,Orleans
70175,Orleans
70176,Orleans
70177,Orleans
70178,Orleans
70179,Orleans
70181,Orleans
70182,Orleans
70183,Orleans
70184,Orleans
70185,Orleans
70186,Orleans
70187,Orleans
70189,Orleans
70190,Orleans
70195,Orleans
70301,Lafourche
70302,Lafourche
70310,Lafourche
70339,Assumption
70340,St. Mary
70341,Assumption
70342,St. Mary
70343,Terrebonne
70344,Terrebonne
70345,Lafourche
70346,Ascension
70352,Terrebonne
70353,Terrebonne
70354,Lafourche
70355,Lafourche
70356,Terrebonne
70357,Lafourche
70358,Jefferson
70359,Terrebonne
70360,Terrebonne
70361,Terrebonne
70363,Terrebonne
70364,Terrebonne
70371,Lafourche
70372,Assumption
70373,Lafourche
70374,Lafourche
70375,Lafourche
70376,Ascension
70377,Terrebonne
70380,St. Mary
70381,St. Mary
70390,Assumption
70391,Assumption
70392,St. Mary
70393,Assumption
70394,Lafourche
70395,Terrebonne
70397,Terrebonne
70401,Tangipahoa
70402,Tangipahoa
70403,Tangipahoa
70404,Tangipahoa
70420,St. Tammany
70421,Tangipahoa
70422,Tangipahoa
70426,Washington
70427,Washington
70429,Washington
70431,St. Tammany
70433,St. Tammany
70434,St. Tammany
70435,St. Tammany
70436,Tangipahoa
70437,St. Tammany
70438,Washington
70441,St. Helena
70442,Tangipahoa
70443,Tangipahoa
70444,Tangipahoa
70445,St. Tammany
70446,Tangipahoa
70447,St. Tammany
70448,St. Tammany
70449,Livingston
70450,Washington
70451,Tangipahoa
70452,St. Tammany
70453,St. Helena
70454,Tangipahoa
70455,Tangipahoa
70456,Tangipahoa
70457,St. Tammany
70458,St. Tammany
70459,St. Tammany
70460,St. Tammany
70461,St. Tammany
70462,Livingston
70463,St. Tammany
70464,St. Tammany
70465,Tangipahoa
70466,Tangipahoa
70467,Washington
70469,St. Tammany
70470,St. Tammany
70471,St. Tammany
70501,Lafayette
70502,Lafayette
70503,Lafayette
70504,Lafayette
70505,Lafayette
70506,Lafayette
70507,Lafayette
70508,Lafayette
70509,Lafayette
70510,Vermilion
70511,Vermilion
70512,St. Martin
70513,Iberia
70514,St. Mary
70515,Evangeline
70516,Acadia
70517,St. Martin
70518,Lafayette
70519,St. Martin
70520,Lafayette
70521,St. Martin
70522,St. Mary
70523,St. Mary
70524,Evangeline
70525,Acadia
70526,Acadia
70527,Acadia
70528,Vermilion
70529,Lafayette
70531,Acadia
70532,Jefferson Davis
70533,Vermilion
70534,Acadia
70535,St. Landry
70537,Acadia
70538,St. Mary
70540,St. Mary
70541,St. Landry
70542,Vermilion
70543,Acadia
70544,Iberia
70546,Jefferson Davis
70548,Vermilion
70549,Jefferson Davis
70550,St. Landry
70551,St. Landry
70552,Iberia
70554,Evangeline
70555,Vermilion
70556,Acadia
70558,Lafayette
70559,Acadia
70560,Iberia
70562,Iberia
70563,Iberia
70569,Iberia
70570,St. Landry
70571,St. Landry
70575,Vermilion
70576,Evangeline
