ZipCode,City,County,State
1420,Fitchburg,Worcester,MA
1507,Charlton,Worcester,MA
1702,Framingham,Middlesex,MA
1950,Newburyport,Essex,MA
2113,Boston,Suffolk,MA
2131,Roslindale,Suffolk,MA
2150,Chelsea,Suffolk,MA
2155,Medford,Suffolk,MA
2215,Boston,Suffolk,MA
2421,Lexington,Middlesex,MA
2540,Falmouth,Barnstable,MA
4011,Brunswick,Cumberland,ME
4051,Lovell,Oxford,ME
5045,Fairlee,Orange,VT
6033,Glastonbury,Hartford,CT
6511,New Haven,New Haven,CT
6516,West Haven,New Haven,CT
6525,Woodbridge,New Haven,CT
6605,Bridgeport,Fairfield,CT
6776,New Milford,Litchfield,CT
6878,Riverside,Fairfield,CT
6901,Stamford,Fairfield,CT
7008,Carteret,Middlesex,NJ
8002,Cherry Hill,Camden,NJ
11218,Brooklyn,Kings,NY
14611,Rochester,Monroe,NY
19703,Claymont,New Castle,DE
19711,Newark,New Castle,DE
20008,Washington,District of Columbia,DC
20009,Washington,District of Columbia,DC
20015,Washington,District of Columbia,DC
20020,Washington,District of Columbia,DC
20194,Reston,Fairfax,VA
20723,Laurel,Howard,MD
20850,Rockville,Montgomery,MD
20905,Silver Spring,Montgomery,MD
21210,Baltimore,Baltimore City,MD
21218,Baltimore,Baltimore City,MD
21221,Essex,Baltimore,MD
21231,Baltimore,Baltimore City,MD
29615,Greer,Greenville,SC
30016,Covington,Newton,GA
30028,Cumming,Gwinnett,GA
30250,Lovejoy,Clayton,GA
30269,Peachtree City,Fayette,GA
30306,Atlanta,Fulton,GA
30309,Atlanta,Fulton,GA
30316,Atlanta,Fulton,GA
31707,Albany,Dougherty,GA
32043,Green Cove Springs,Clay,FL
32073,Orange Park,Clay,FL
32312,Tallahassee,Leon,FL
32536,Crestview,Okaloosa,FL
32773,Sanford,Seminole,FL
32832,Orlando,Orange,FL
33131,Miami,Miami-Dade,FL
33139,Miami Beach,Miami-Dade,FL
33173,Miami,Miami-Dade,FL
33176,Miami,Miami-Dade,FL
33180,Miami,Miami-Dade,FL
33411,Royal Palm Beach,Palm Beach,FL
33569,Riverview,Hillsborough,FL
33637,Temple Terrace,Hillsborough,FL
33647,Tampa,Hillsborough,FL
33708,Saint Petersburg,Pinellas,FL
33905,Fort Myers,Lee,FL
33907,Fort Myers,Lee,FL
35216,Birmingham,Jefferson,AL
35243,Birmingham,Jefferson,AL
36106,Montgomery,Montgomery,AL
36207,Anniston,Calhoun,AL
37143,Pegram,Cheatham,TN
40031,Lagrange,Oldham,KY
40175,Vine Grove,Hardin,KY
46038,Fishers,Hamilton,IN
46131,Franklin,Johnson,IN
46201,Indianapolis,Marion,IN
46235,Indianapolis,Marion,IN
46324,Hammond,Lake,IN
46733,Decatur,Adams,IN
47112,Corydon,Harrison,IN
47725,Evansville,Vanderburgh,IN
48104,Ann Arbor,Washtenaw,MI
48202,Detroit,Wayne,MI
48323,West Bloomfield Township,Oakland,MI
48451,Linden,Genesee,MI
49406,Douglas,Allegan,MI
49441,Muskegon,Muskegon,MI
49503,Grand Rapids,Kent,MI
50312,Des Moines,Polk,IA
51536,Hancock,Pottawattamie,IA
52761,Muscatine,Muscatine,IA
54981,Waupaca,Waupaca,WI
56386,Wahkon,Mille Lacs,MN
56401,Brainerd,Crow Wing,MN
60016,Des Plaines,Cook,IL
60062,Northbrook,Cook,IL
60076,Skokie,Cook,IL
60090,Wheeling,Cook,IL
60203,Evanston,Cook,IL
60608,Chicago,Cook,IL
60610,Chicago,Cook,IL
60611,Chicago,Cook,IL
60614,Chicago,Cook,IL
60617,Chicago,Cook,IL
60622,Chicago,Cook,IL
60623,Chicago,Cook,IL
60659,Chicago,Cook,IL
61001,Apple River,Jo Daviess,IL
61081,Sterling,Whiteside,IL
61745,Heyworth,McLean,IL
61802,Urbana,Champaign,IL
62673,Oakford,Menard,IL
62822,Christopher,Franklin,IL
66215,Lenexa,Johnson,KS
67205,Wichita,Sedgwick,KS
67206,Wichita,Sedgwick,KS
67210,Wichita,Sedgwick,KS
67217,Wichita,Sedgwick,KS
70508,Lafayette,Lafayette Parish,LA
70809,Baton Rouge,East Baton Rouge,LA
72846,Lamar,Johnson,AR
76132,Fort Worth,Tarrant,TX
76210,Argyle,Denton,TX
78006,Boerne,Kendall,TX
79938,El Paso,El Paso,TX
80014,Aurora,Arapahoe,CO
80030,Westminster,Adams,CO
80126,Highlands Ranch,Douglas,CO
80130,Littleton,Douglas,CO
80210,Denver,Denver,CO
80228,Lakewood,Jefferson,CO
80230,Denver,Denver,CO
80241,Thornton,Adams,CO
80302,Boulder,Boulder,CO
80303,Boulder,Boulder,CO
80504,Longmont,Weld,CO
80516,Erie,Boulder,CO
80634,Greeley,Weld,CO
80820,Guffey,Park,CO
80907,Colorado Springs,El Paso,CO
80910,Colorado Springs,El Paso,CO
80913,Fort Carson,El Paso,CO
80915,Colorado Springs,El Paso,CO
80919,Colorado Springs,El Paso,CO
81001,Pueblo,Pueblo,CO
81235,Lake City,Hinsdale,CO
81301,Durango,La Plata,CO
81623,Carbondale,Garfield,CO
81631,Eagle,Eagle,CO
83333,Hailey,Blaine,ID
83440,Rexburg,Madison,ID
83617,Emmett,Gem,ID
83642,Meridian,Ada,ID
83702,Boise,Ada,ID
83705,Boise,Ada,ID
83814,Coeur D Alene,Kootenai,ID
83835,Hayden,Kootenai,ID
83845,Moyie Springs,Boundary,ID
83854,Post Falls,Kootenai,ID
84774,Toquerville,Washington,UT
85019,Phoenix,Maricopa,AZ
85032,Phoenix,Maricopa,AZ
85044,Phoenix,Maricopa,AZ
85086,Anthem,Maricopa,AZ
85122,Casa Grande,Pinal,AZ
85132,Florence,Pinal,AZ
85142,Queen Creek,Maricopa,AZ
85210,Mesa,Maricopa,AZ
85225,Chandler,Maricopa,AZ
85226,Chandler,Maricopa,AZ
85301,Glendale,Maricopa,AZ
85306,Glendale,Maricopa,AZ
85308,Glendale,Maricopa,AZ
85326,Buckeye,Maricopa,AZ
85335,El Mirage,Maricopa,AZ
85349,San Luis,Yuma,AZ
85350,Somerton,Yuma,AZ
85351,Sun City,Maricopa,AZ
85364,Yuma,Yuma,AZ
85367,Yuma,Yuma,AZ
85374,Surprise,Maricopa,AZ
85379,Surprise,Maricopa,AZ
85382,Peoria,Maricopa,AZ
85541,Basin,Gila,AZ
85718,Tucson,Pima,AZ
89031,Las Vegas,Clark,NV
89052,Henderson,Clark,NV
89130,Las Vegas,Clark,NV
89178,Las Vegas,Clark,NV
89349,San Luis,Yuma,AZ
89431,Sparks,Washoe,NV
89448,Zephyr Cove,Douglas,NV
89449,Stateline,Douglas,NV
89450,Incline Village,Washoe,NV
89451,Incline Village,Washoe,NV
89460,Gardnerville,Douglas,NV
89523,Reno,Washoe,NV
89533,Reno,Washoe,NV
89703,Carson City,Carson City,NV
90001,Los Angeles,Los Angeles,CA
90002,Los Angeles,Los Angeles,CA
90003,Los Angeles,Los Angeles,CA
